trial	target_ele	response_ele
11	37.5	14.6
22	37.5	20.6
49	12.5	0.2
71	12.5	0.1
88	37.5	9.6
108	37.5	17.2
132	-37.5	-25.4
152	37.5	-13.6
167	-37.5	-28.5
182	12.5	15.0
209	37.5	26.8
224	-12.5	1.1
2	-12.5	-14.9
27	12.5	-15.2
48	37.5	21.0
62	37.5	30.9
84	-37.5	-14.2
107	12.5	1.9
130	12.5	15.5
151	12.5	-21.1
169	-12.5	-13.2
187	12.5	0.4
207	12.5	17.7
232	37.5	24.9
11	37.5	-13.9
27	12.5	15.2
45	-12.5	1.2
68	37.5	28.8
86	-12.5	15.5
110	12.5	23.2
131	-37.5	-23.2
150	37.5	20.9
172	-37.5	12.1
189	-12.5	-13.5
204	-12.5	-8.8
229	-37.5	-31.6
9	-12.5	-13.2
29	-12.5	15.1
49	-37.5	0.4
68	37.5	19.2
89	-12.5	23.5
109	-37.5	9.5
128	12.5	20.5
146	-12.5	-21.3
162	37.5	25.8
188	-12.5	-20.6
209	-12.5	12.9
229	-12.5	19.2
2	37.5	17.9
24	37.5	10.0
50	-37.5	-12.1
62	12.5	0.6
88	37.5	-14.1
103	-12.5	0.6
128	-37.5	15.0
147	37.5	30.8
168	-12.5	20.0
184	12.5	13.7
209	37.5	1.7
224	-37.5	0.6
6	37.5	13.4
22	-37.5	-13.3
52	37.5	0.3
71	-37.5	-13.6
87	12.5	10.5
107	-37.5	16.3
127	37.5	13.3
150	-37.5	-12.3
170	-12.5	-18.2
184	12.5	18.7
205	-12.5	0.3
229	-37.5	13.0
